ID,Bio_Origin,Plant_Origin,Orphan_Drug,Homeopathic,Early_Termination,Manual_URL,Shelf_Life,Shelf_Life_Value,Shelf_Life_Unit
B55A8AD0093F7A6DC2258BAF0040D1B5,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/8402CB02802A809442258A7400314C4F/$file/UA126180101_350D.mht,3 роки,3.0,рік
C388A93991FA13A4C2258AD8004B3C41,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/708D3987573F662142258B9500605D90/$file/UA43790104_B3FA.mht,5 років (виробник ГЛЗ Астеллас Фарма Юроп Б.В.)3 роки (виробник ГЛЗ Хаупт Фарма Латіна С.Р.Л),,
DE2F6BBE8A9FD41AC2258BAF0040EF8E,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/6D1B9267C65948E542258B9500605D8B/$file/UA43790101_AD1C.mht,5 років (виробник ГЛЗ Астеллас Фарма Юроп Б.В.)3 роки (виробник ГЛЗ Хаупт Фарма Латіна С.Р.Л),,
EBF434CA76626915C2258B23004B20FC,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/56823C1F42BD85F242258B9500605D87/$file/UA43790102_5F97.mht,5 років (виробник ГЛЗ Астеллас Фарма Юроп Б.В.)3 роки (виробник ГЛЗ Хаупт Фарма Латіна С.Р.Л),,
A6B033DE806978C3C2258B23004B49A7,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/A3BB9C1C8324FD7E42258B9500605D7D/$file/UA43790103_098B.mht,5 років (виробник ГЛЗ Астеллас Фарма Юроп Б.В.)3 роки (виробник ГЛЗ Хаупт Фарма Латіна С.Р.Л),,
E0E57B379AD9FE0CC2258BAF00412694,True,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/1A1B0AFDF27EB49B4225896A002B91D9/$file/UA131190101_5BFF.mht,2 роки,2.0,рік
920F7383688FBFB9C225863B004B3986,True,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/B1E17B09240C8A824225896A002B6E4D/$file/UA193940101_78FB.mht,2 роки. Термін придатності після відкриття флакона — не більше 28 днів.,2.0,рік
749569A824560834C225898F0028F8FF,False,False,False,False,False,,3 роки,3.0,рік
88ED376D1AE3F539C2258AC5002C53E6,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/05BCFB2BB3CEA3ADC2258ADF004B332A/$file/UA203800101_B307.mht,3 роки.Після розкриття флакона краплі очні зберігати у пачці для захисту від світла. Використати протягом 4 тижнів.,3.0,рік
58A0B6F6D57D9A04C2258AC5002C78FB,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/CDBE95C66DF4C74942258A0D003D44D1/$file/UA198470101_6F9C.mht,2 роки,2.0,рік
6A18F57E8E2AD27EC2258898003C758E,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/4CB51B0ED370FB1442258A0600449773/$file/UA198470201_2477.mht,2 роки,2.0,рік
9DC2C44D277DA49EC225870300395128,False,False,False,False,True,http://www.drlz.com.ua/ibp/lz_www.nsf/id/F1D3BCE3CA64D78642258A1B004F7B88/$file/UA134630101_1629.mht,3 роки,3.0,рік
